Lookup	ID	Ndex	Species	Forme	Type1	Type2	Ability1	Ability2	AbilityH	HP	Attack	Defense	SpAttack	SpDefense	Speed	Total	Weight	Height	Dex1	Dex2	Class	%Male	%Female	Pre-Evolution	Egg Group 1	Egg Group 2	Type Concat	Ability Concat
Clefable	36	36	Clefable	Clefable	Fairy	#N/A	Cute Charm	Magic Guard	Unaware	95	70	73	95	90	60	483	88.2 lbs.	4'03"	They don't like to reveal themselves in front of people. They live quietly in packs deep in the mountains.	According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.	Fairy Pokémon	0.25	0.75	Clefairy	Fairy	#N/A	Fairy	Cute Charm / Magic Guard / Unaware*
Vulpix	37	37	Vulpix	Vulpix	Fire	#N/A	Flash Fire	#N/A	Drought	38	41	40	50	65	65	299	21.8 lbs.	2'00"	Its beautiful fur and tails have made it very popular. As it grows, its tails split to form more tails.	From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.	Fox Pokémon	0.25	0.75	#N/A	Field	#N/A	Fire	Flash Fire / Drought*
Ninetales	38	38	Ninetales	Ninetales	Fire	#N/A	Flash Fire	#N/A	Drought	73	76	75	81	100	100	505	43.9 lbs.	3'07"	Legend has it that this mystical Pokémon was formed when nine saints coalesced into one.	Said to live for a thousand years, this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.	Fox Pokémon	0.25	0.75	Vulpix	Field	#N/A	Fire	Flash Fire / Drought*
Jigglypuff	39	39	Jigglypuff	Jigglypuff	Normal	Fairy	Cute Charm	Competitive	Friend Guard	115	45	20	45	25	20	270	12.1 lbs.	1'08"	It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you'll become sleepy right away.	Jigglypuff possess a vocal range that exceeds 12 octaves, but each individual's singing skill depends on its own effort.	Balloon Pokémon	0.25	0.75	Igglybuff	Fairy	#N/A	Normal / Fairy	Cute Charm / Competitive / Friend Guard*
Wigglytuff	40	40	Wigglytuff	Wigglytuff	Normal	Fairy	Cute Charm	Competitive	Frisk	140	70	45	85	50	45	435	26.5 lbs.	3'03"	It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.	As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.	Balloon Pokémon	0.25	0.75	Jigglypuff	Fairy	#N/A	Normal / Fairy	Cute Charm / Competitive / Frisk*
Zubat	41	41	Zubat	Zubat	Poison	Flying	Inner Focus	#N/A	Infiltrator	40	45	35	30	40	55	245	16.5 lbs.	2'07"	It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.	When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.	Bat Pokémon	0.5	0.5	#N/A	Flying	#N/A	Poison / Flying	Inner Focus / Infiltrator*
Golbat	42	42	Golbat	Golbat	Poison	Flying	Inner Focus	#N/A	Infiltrator	75	80	70	65	75	90	455	121.3 lbs.	5'03"	Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.	Sometimes they drink so much blood, they can't fly anymore. Then they fall to the ground and become food for other Pokémon.	Bat Pokémon	0.5	0.5	Zubat	Flying	#N/A	Poison / Flying	Inner Focus / Infiltrator*
Oddish	43	43	Oddish	Oddish	Grass	Poison	Chlorophyll	#N/A	Run Away	45	50	55	75	65	30	320	11.9 lbs.	1'08"			Weed Pokémon	0.5	0.5	#N/A	Grass	#N/A	Grass / Poison	Chlorophyll / Run Away*
Gloom	44	44	Gloom	Gloom	Grass	Poison	Chlorophyll	#N/A	Stench	60	65	70	85	75	40	395	19.0 lbs.	2'07"			Weed Pokémon	0.5	0.5	Oddish	Grass	#N/A	Grass / Poison	Chlorophyll / Stench*
Vileplume	45	45	Vileplume	Vileplume	Grass	Poison	Chlorophyll	#N/A	Effect Spore	75	80	85	110	90	50	490	41.0 lbs.	3'11"			Flower Pokémon	0.5	0.5	Gloom	Grass	#N/A	Grass / Poison	Chlorophyll / Effect Spore*
Paras	46	46	Paras	Paras	Bug	Grass	Effect Spore	Dry Skin	Damp	35	70	55	45	55	25	285	11.9 lbs.	1'00"	No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.	Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.	Mushroom Pokémon	0.5	0.5	#N/A	Bug	Grass	Bug / Grass	Effect Spore / Dry Skin / Damp*
Parasect	47	47	Parasect	Parasect	Bug	Grass	Effect Spore	Dry Skin	Damp	60	95	80	60	80	30	405	65.0 lbs.	3'03"	The large mushroom on its back controls it. It often fights over territory with Shiinotic.	It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.	Mushroom Pokémon	0.5	0.5	Paras	Bug	Grass	Bug / Grass	Effect Spore / Dry Skin / Damp*
Venonat	48	48	Venonat	Venonat	Bug	Poison	Compound Eyes	Tinted Lens	Run Away	60	55	50	40	55	45	305	66.1 lbs.	3'03"			Insect Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug / Poison	Compound Eyes / Tinted Lens / Run Away*
Venomoth	49	49	Venomoth	Venomoth	Bug	Poison	Shield Dust	Tinted Lens	Wonder Skin	70	65	60	90	75	90	450	27.6 lbs.	4'11"			Poison Moth Pokémon	0.5	0.5	Venonat	Bug	#N/A	Bug / Poison	Shield Dust / Tinted Lens / Wonder Skin*
Diglett	50	50	Diglett	Diglett	Ground	#N/A	Sand Veil	Arena Trap	Sand Force	10	55	25	35	45	95	265	1.8 lbs.	0'08"	It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.	Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.	Mole Pokémon	0.5	0.5	#N/A	Field	#N/A	Ground	Sand Veil / Arena Trap / Sand Force*
Dugtrio	51	51	Dugtrio	Dugtrio	Ground	#N/A	Sand Veil	Arena Trap	Sand Force	35	100	50	50	70	120	425	73.4 lbs.	2'04"	This set of triplets moves cooperatively. It's the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.	Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground.	Mole Pokémon	0.5	0.5	Diglett	Field	#N/A	Ground	Sand Veil / Arena Trap / Sand Force*
Meowth	52	52	Meowth	Meowth	Normal	#N/A	Pickup	Technician	Unnerve	40	45	35	40	40	90	290	9.3 lbs.	1'04"	It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.	It loves shiny things. It often fights with Murkrow over prey they're both trying to catch.	Scratch Cat Pokémon	0.5	0.5	#N/A	Field	#N/A	Normal	Pickup / Technician / Unnerve*
Persian	53	53	Persian	Persian	Normal	#N/A	Limber	Technician	Unnerve	65	70	60	65	65	115	440	70.5 lbs.	3'03"	It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.	It has a high opinion of itself, although not to the same extent as the Alolan Persian. It's quite difficult to make friends with this Pokémon.	Classy Cat Pokémon	0.5	0.5	Meowth	Field	#N/A	Normal	Limber / Technician / Unnerve*
Psyduck	54	54	Psyduck	Psyduck	Water	#N/A	Damp	Cloud Nine	Swift Swim	50	52	48	65	50	55	320	43.2 lbs.	2'07"	As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.	This Pokémon is troubled by constant headaches. The more pain it's in, the more powerful its psychokinesis becomes.	Duck Pokémon	0.5	0.5	#N/A	Water 1	Field	Water	Damp / Cloud Nine / Swift Swim*
Golduck	55	55	Golduck	Golduck	Water	#N/A	Damp	Cloud Nine	Swift Swim	80	82	78	95	80	85	500	168.9 lbs.	5'07"	It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.	It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.	Duck Pokémon	0.5	0.5	Psyduck	Water 1	Field	Water	Damp / Cloud Nine / Swift Swim*
Mankey	56	56	Mankey	Mankey	Fighting	#N/A	Vital Spirit	Anger Point	Defiant	40	80	35	35	45	70	305	61.7 lbs.	1'08"	It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.	Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.	Pig Monkey Pokémon	0.5	0.5	#N/A	Field	#N/A	Fighting	Vital Spirit / Anger Point / Defiant*
Primeape	57	57	Primeape	Primeape	Fighting	#N/A	Vital Spirit	Anger Point	Defiant	65	105	60	60	70	95	455	70.5 lbs.	3'03"	It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.	Some researchers theorize that Primeape remains angry even when inside a Poké Ball.	Pig Monkey Pokémon	0.5	0.5	Mankey	Field	#N/A	Fighting	Vital Spirit / Anger Point / Defiant*
Growlithe	58	58	Growlithe	Growlithe	Fire	#N/A	Intimidate	Flash Fire	Justified	55	70	45	70	50	60	350	41.9 lbs.	2'04"	It's both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.	It looks cute, but when you approach another Trainer's Growlithe, it will bark at you and bite.	Puppy Pokémon	0.75	0.25	#N/A	Field	#N/A	Fire	Intimidate / Flash Fire / Justified*
Arcanine	59	59	Arcanine	Arcanine	Fire	#N/A	Intimidate	Flash Fire	Justified	90	110	80	100	80	95	555	341.7 lbs.	6'03"	Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.	The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.	Legendary Pokémon	0.75	0.25	Growlithe	Field	#N/A	Fire	Intimidate / Flash Fire / Justified*
Poliwag	60	60	Poliwag	Poliwag	Water	#N/A	Water Absorb	Damp	Swift Swim	40	50	40	40	40	90	300	27.3 lbs.	2'00"	The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it's affected by some disease.	It's still not very good at walking. Its Trainers should train this Pokémon to walk every day.	Tadpole Pokémon	0.5	0.5	#N/A	Water 1	#N/A	Water	Water Absorb / Damp / Swift Swim*
Poliwhirl	61	61	Poliwhirl	Poliwhirl	Water	#N/A	Water Absorb	Damp	Swift Swim	65	65	65	50	50	90	385	44.1 lbs.	3'03"	Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.	It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it's safe.	Tadpole Pokémon	0.5	0.5	Poliwag	Water 1	#N/A	Water	Water Absorb / Damp / Swift Swim*
Poliwrath	62	62	Poliwrath	Poliwrath	Water	Fighting	Water Absorb	Damp	Swift Swim	90	95	95	70	90	70	510	119.0 lbs.	4'03"	Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.	Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.	Tadpole Pokémon	0.5	0.5	Poliwhirl	Water 1	#N/A	Water / Fighting	Water Absorb / Damp / Swift Swim*
Abra	63	63	Abra	Abra	Psychic	#N/A	Synchronize	Inner Focus	Magic Guard	25	20	15	105	55	90	310	43.0 lbs.	2'11"	It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.	It can teleport itself to safety while it's asleep, but when it wakes, it doesn't know where it is, so it panics.	Psi Pokémon	0.75	0.25	#N/A	Human-Like	#N/A	Psychic	Synchronize / Inner Focus / Magic Guard*
Kadabra	64	64	Kadabra	Kadabra	Psychic	#N/A	Synchronize	Inner Focus	Magic Guard	40	35	30	120	70	105	400	124.6 lbs.	4'03"	A theory exists that this Pokémon was a young boy who couldn't control his psychic powers and ended up transformed into this Pokémon.	Kadabra's presence infests televisions and monitors with creepy shadows that bring bad luck.	Psi Pokémon	0.75	0.25	Abra	Human-Like	#N/A	Psychic	Synchronize / Inner Focus / Magic Guard*
Alakazam	65	65	Alakazam	Alakazam	Psychic	#N/A	Synchronize	Inner Focus	Magic Guard	55	50	45	135	95	120	500	105.8 lbs.	4'11"	It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.	Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.	Psi Pokémon	0.75	0.25	Kadabra	Human-Like	#N/A	Psychic	Synchronize / Inner Focus / Magic Guard*
Machop	66	66	Machop	Machop	Fighting	#N/A	Guts	No Guard	Steadfast	70	80	50	35	35	35	305	43.0 lbs.	2'07"	It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.	With its superhuman strength, it's able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.	Superpower Pokémon	0.75	0.25	#N/A	Human-Like	#N/A	Fighting	Guts / No Guard / Steadfast*
Machoke	67	67	Machoke	Machoke	Fighting	#N/A	Guts	No Guard	Steadfast	80	100	70	50	60	45	405	155.4 lbs.	4'11"	As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.	It willingly assists with hard labor because it knows the work is good training for its muscles.	Superpower Pokémon	0.75	0.25	Machop	Human-Like	#N/A	Fighting	Guts / No Guard / Steadfast*
Machamp	68	68	Machamp	Machamp	Fighting	#N/A	Guts	No Guard	Steadfast	90	130	80	65	85	55	505	286.6 lbs.	5'03"	It unleashes megaton-level punches that send opponents flying clear over the horizon.	It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.	Superpower Pokémon	0.75	0.25	Machoke	Human-Like	#N/A	Fighting	Guts / No Guard / Steadfast*
Bellsprout	69	69	Bellsprout	Bellsprout	Grass	Poison	Chlorophyll	#N/A	Gluttony	50	75	35	70	30	40	300	8.8 lbs.	2'04"			Flower Pokémon	0.5	0.5	#N/A	Grass	#N/A	Grass / Poison	Chlorophyll / Gluttony*
Weepinbell	70	70	Weepinbell	Weepinbell	Grass	Poison	Chlorophyll	#N/A	Gluttony	65	90	50	85	45	55	390	14.1 lbs.	3'03"			Flycatcher Pokémon	0.5	0.5	Bellsprout	Grass	#N/A	Grass / Poison	Chlorophyll / Gluttony*
Victreebel	71	71	Victreebel	Victreebel	Grass	Poison	Chlorophyll	#N/A	Gluttony	80	105	65	100	70	70	490	34.2 lbs.	5'07"			Flycatcher Pokémon	0.5	0.5	Weepinbell	Grass	#N/A	Grass / Poison	Chlorophyll / Gluttony*
Tentacool	72	72	Tentacool	Tentacool	Water	Poison	Clear Body	Liquid Ooze	Rain Dish	40	40	35	50	100	70	335	100.3 lbs.	2'11"	They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.	It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.	Jellyfish Pokémon	0.5	0.5	#N/A	Water 3	#N/A	Water / Poison	Clear Body / Liquid Ooze / Rain Dish*
Tentacruel	73	73	Tentacruel	Tentacruel	Water	Poison	Clear Body	Liquid Ooze	Rain Dish	80	70	65	80	120	100	515	121.3 lbs.	5'03"	Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.	Although these Pokémon are rare, when a large outbreak of them occurs, all fish Pokémon disappear from the surrounding sea.	Jellyfish Pokémon	0.5	0.5	Tentacool	Water 3	#N/A	Water / Poison	Clear Body / Liquid Ooze / Rain Dish*
Geodude	74	74	Geodude	Geodude	Rock	Ground	Rock Head	Sturdy	Sand Veil	40	80	100	30	30	20	300	44.1 lbs.	1'04"	Its round body makes it easy to pick up, but it is hard and heavy. It's dangerous to play with them as if they were snowballs.	There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.	Rock Pokémon	0.5	0.5	#N/A	Mineral	#N/A	Rock / Ground	Rock Head / Sturdy / Sand Veil*
Graveler	75	75	Graveler	Graveler	Rock	Ground	Rock Head	Sturdy	Sand Veil	55	95	115	45	45	35	390	231.5 lbs.	3'03"	Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.	This slow-footed Pokémon moves by curling up and rolling instead of walking. With enough momentum, its speed can exceed 60 mph.	Rock Pokémon	0.5	0.5	Geodude	Mineral	#N/A	Rock / Ground	Rock Head / Sturdy / Sand Veil*
Golem	76	76	Golem	Golem	Rock	Ground	Rock Head	Sturdy	Sand Veil	80	120	130	55	65	45	495	661.4 lbs.	4'07"	Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity.	Once a year, this Pokémon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.	Megaton Pokémon	0.5	0.5	Graveler	Mineral	#N/A	Rock / Ground	Rock Head / Sturdy / Sand Veil*
